数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,90.000000,1.30,18.8
0.1,,1.13,
0.2,,1.05,
0.3,,1.00,
0.4,,0.96,
0.5,,0.88,
0.6,,0.81,
0.7,,0.82,
0.8,,0.97,
0.9,,1.21,
1.0,90.000000,1.54,
1.1,,1.88,
1.2,,2.16,
1.3,,2.50,
1.4,,2.88,
1.5,,3.21,
1.6,,3.57,
1.7,,3.95,
1.8,,4.21,
1.9,,4.15,
2.0,90.000000,3.82,
2.1,,3.44,
2.2,,3.10,
2.3,,2.81,
2.4,,2.55,
2.5,,2.31,
2.6,,2.14,
2.7,,2.02,
2.8,,1.88,
2.9,,1.72,
3.0,90.000000,1.57,
3.1,,1.39,
3.2,,1.24,
3.3,,1.16,
3.4,,1.11,
3.5,,1.06,
3.6,,1.02,
3.7,,0.98,
3.8,,1.03,
3.9,,1.26,
4.0,90.000000,1.62,
4.1,,1.97,
4.2,,2.31,
4.3,,2.65,
4.4,,2.95,
4.5,,3.25,
4.6,,3.62,
4.7,,3.99,
4.8,,4.26,
4.9,,4.26,
5.0,90.333333,3.90,
5.1,,3.46,
5.2,,3.15,
5.3,,2.94,
5.4,,2.70,
5.5,,2.48,
5.6,,2.28,
5.7,,2.08,
5.8,,1.90,
5.9,,1.78,
6.0,90.500000,1.64,
6.1,,1.49,
6.2,,1.37,
6.3,,1.26,
6.4,,1.13,
6.5,,1.05,
6.6,,1.00,
6.7,,0.96,
6.8,,0.94,
6.9,,0.93,
7.0,90.666667,0.99,
7.1,,1.16,
7.2,,1.43,
7.3,,1.75,
7.4,,2.09,
7.5,,2.45,
7.6,,2.77,
7.7,,3.13,
7.8,,3.60,
7.9,,4.07,
8.0,91.166667,4.42,
8.1,,4.57,
8.2,,4.39,
8.3,,3.97,
8.4,,3.54,
8.5,,3.21,
8.6,,2.92,
8.7,,2.67,
8.8,,2.46,
8.9,,2.25,
9.0,91.500000,2.09,
9.1,,1.98,
9.2,,1.85,
9.3,,1.69,
9.4,,1.54,
