数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,85.000000,4.24,13.1
0.1,,4.72,
0.2,,5.14,
0.3,,5.52,
0.4,,6.00,
0.5,,6.58,
0.6,,7.14,
0.7,,7.77,
0.8,,8.20,
0.9,,8.02,
1.0,85.000000,7.30,
1.1,,6.56,
1.2,,6.03,
1.3,,5.57,
1.4,,5.16,
1.5,,4.81,
1.6,,4.48,
1.7,,4.20,
1.8,,4.06,
1.9,,3.99,
2.0,85.500000,3.93,
2.1,,3.88,
2.2,,3.77,
2.3,,3.56,
2.4,,3.39,
2.5,,3.34,
2.6,,3.34,
2.7,,3.34,
2.8,,3.29,
2.9,,3.20,
3.0,85.600000,3.05,
3.1,,2.96,
3.2,,3.05,
3.3,,3.24,
3.4,,3.50,
3.5,,3.77,
3.6,,4.04,
3.7,,4.30,
3.8,,4.61,
3.9,,5.09,
4.0,85.666667,5.70,
4.1,,6.32,
4.2,,6.87,
4.3,,7.36,
4.4,,7.80,
4.5,,8.23,
4.6,,8.73,
4.7,,9.00,
4.8,,8.70,
4.9,,7.90,
5.0,86.000000,6.95,
5.1,,6.07,
5.2,,5.44,
5.3,,5.10,
5.4,,4.87,
5.5,,4.69,
5.6,,4.48,
5.7,,4.22,
5.8,,3.94,
5.9,,3.78,
6.0,86.500000,3.72,
6.1,,3.64,
6.2,,3.56,
6.3,,3.49,
6.4,,3.39,
6.5,,3.25,
6.6,,3.17,
6.7,,3.15,
6.8,,3.14,
6.9,,3.11,
7.0,86.400000,3.05,
7.1,,3.01,
7.2,,3.07,
7.3,,3.29,
7.4,,3.57,
7.5,,3.84,
7.6,,4.17,
7.7,,4.57,
7.8,,4.91,
7.9,,5.24,
8.0,86.666667,5.68,
8.1,,6.17,
8.2,,6.65,
8.3,,7.13,
8.4,,7.59,
8.5,,7.95,
8.6,,8.17,
8.7,,8.06,
8.8,,7.55,
8.9,,6.84,
9.0,86.800000,6.11,
9.1,,5.47,
9.2,,4.96,
9.3,,4.69,
9.4,,4.55,
9.5,,4.42,
9.6,,4.29,
9.7,,4.16,
9.8,,3.98,
9.9,,3.84,
10.0,86.800000,3.79,13.7
10.1,,3.77,
10.2,,3.72,
10.3,,3.72,
10.4,,3.80,
10.5,,3.84,
10.6,,3.96,
10.7,,4.97,
10.8,,4.99,
10.9,,4.42,
11.0,86.833333,5.37,
11.1,,5.56,
11.2,,5.41,
11.3,,6.92,
11.4,,8.05,
11.5,,8.18,
11.6,,9.34,
11.7,,10.19,
11.8,,11.35,
11.9,,14.24,
12.0,87.400000,15.58,
12.1,,16.78,
12.2,,19.72,
12.3,,20.74,
12.4,,21.15,
12.5,,23.18,
12.6,,23.57,
12.7,,26.08,
12.8,,31.98,
12.9,,32.60,
13.0,87.833333,30.93,
13.1,,29.53,
13.2,,23.37,
13.3,,18.01,
13.4,,17.84,
13.5,,17.62,
13.6,,15.53,
13.7,,15.77,
13.8,,16.15,
13.9,,13.30,
14.0,88.800000,13.26,
14.1,,14.72,
14.2,,12.77,
14.3,,12.43,
14.4,,12.02,
14.5,,9.32,
14.6,,9.93,
14.7,,10.98,
14.8,,9.39,
14.9,,11.13,
15.0,89.333333,12.06,
15.1,,9.50,
15.2,,9.63,
15.3,,9.53,
15.4,,7.91,
15.5,,8.45,
15.6,,8.62,
15.7,,6.86,
15.8,,6.69,
15.9,,7.28,
16.0,90.142857,6.88,
16.1,,8.30,
16.2,,9.74,
16.3,,9.30,
16.4,,10.67,
16.5,,13.01,
16.6,,13.64,
16.7,,15.13,
16.8,,17.89,
16.9,,19.08,
17.0,91.285714,21.66,
17.1,,24.24,
17.2,,23.21,
17.3,,24.03,
17.4,,25.51,
17.5,,24.00,
17.6,,27.26,
17.7,,32.37,
17.8,,32.46,
17.9,,32.25,
18.0,92.142857,30.57,
18.1,,24.92,
18.2,,20.33,
18.3,,18.56,
18.4,,17.26,
18.5,,15.63,
18.6,,16.33,
18.7,,15.45,
18.8,,11.29,
18.9,,9.88,
19.0,92.571429,10.20,
19.1,,8.79,
19.2,,8.45,
19.3,,9.03,
19.4,,7.65,
19.5,,7.08,
19.6,,7.77,
19.7,,7.05,
19.8,,7.36,
19.9,,8.17,
20.0,92.375000,6.79,12.3
20.1,,6.43,
20.2,,7.10,
20.3,,6.40,
20.4,,6.38,
20.5,,6.90,
20.6,,5.87,
20.7,,5.72,
20.8,,6.52,
20.9,,5.75,
21.0,92.833333,5.70,
21.1,,6.98,
21.2,,6.51,
21.3,,6.50,
21.4,,7.93,
21.5,,7.91,
21.6,,9.61,
21.7,,12.22,
21.8,,11.93,
21.9,,13.61,
22.0,92.500000,16.09,
22.1,,16.79,
22.2,,20.25,
22.3,,24.00,
22.4,,24.74,
22.5,,28.87,
22.6,,33.84,
22.7,,30.44,
22.8,,25.94,
22.9,,23.67,
23.0,91.833333,18.78,
23.1,,16.63,
23.2,,16.92,
23.3,,13.56,
23.4,,11.52,
23.5,,12.66,
23.6,,10.59,
23.7,,8.49,
23.8,,9.01,
23.9,,7.82,
24.0,91.500000,6.43,
24.1,,7.49,
24.2,,7.52,
24.3,,6.68,
24.4,,7.56,
24.5,,7.37,
24.6,,6.27,
24.7,,6.74,
24.8,,6.41,
24.9,,5.51,
25.0,91.333333,5.91,
25.1,,5.89,
25.2,,5.89,
25.3,,6.54,
25.4,,5.69,
25.5,,4.89,
25.6,,5.54,
25.7,,5.50,
25.8,,5.25,
25.9,,6.26,
26.0,91.166667,6.21,
26.1,,6.86,
26.2,,9.47,
26.3,,10.01,
26.4,,10.48,
26.5,,12.37,
26.6,,12.66,
26.7,,14.69,
26.8,,17.61,
26.9,,17.77,
27.0,91.666667,19.78,
27.1,,22.79,
27.2,,24.12,
27.3,,26.07,
27.4,,28.03,
27.5,,28.25,
27.6,,26.73,
27.7,,25.95,
27.8,,25.40,
27.9,,21.20,
28.0,92.000000,17.53,
28.1,,16.85,
28.2,,13.79,
28.3,,11.57,
28.4,,12.43,
28.5,,10.48,
28.6,,8.41,
28.7,,8.63,
28.8,,7.26,
28.9,,6.38,
29.0,92.666667,7.46,
29.1,,6.73,
29.2,,5.19,
29.3,,5.18,
29.4,,4.79,
29.5,,4.47,
29.6,,5.45,
29.7,,5.29,
29.8,,4.78,
29.9,,5.44,
30.0,93.833333,5.32,12.3
