数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,94.000000,2.40,27.1
0.1,,2.25,
0.2,,2.16,
0.3,,2.02,
0.4,,1.79,
0.5,,1.58,
0.6,,1.42,
0.7,,1.37,
0.8,,1.54,
0.9,,2.00,
1.0,94.666667,2.67,
1.1,,3.42,
1.2,,4.54,
1.3,,5.62,
1.4,,6.39,
1.5,,6.47,
1.6,,5.96,
1.7,,5.47,
1.8,,5.00,
1.9,,4.54,
2.0,96.250000,4.00,
2.1,,3.47,
2.2,,3.02,
2.3,,2.67,
2.4,,2.42,
2.5,,2.26,
2.6,,2.11,
2.7,,1.94,
2.8,,1.80,
2.9,,1.68,
3.0,97.400000,1.67,
3.1,,1.83,
3.2,,2.16,
3.3,,2.69,
3.4,,3.33,
3.5,,3.97,
3.6,,4.62,
3.7,,5.30,
3.8,,5.75,
3.9,,5.70,
4.0,97.833333,5.20,
4.1,,4.56,
4.2,,4.03,
4.3,,3.68,
4.4,,3.36,
4.5,,3.00,
4.6,,2.67,
4.7,,2.36,
4.8,,2.12,
4.9,,1.99,
5.0,98.833333,1.86,
5.1,,1.72,
5.2,,1.59,
5.3,,1.48,
5.4,,1.52,
5.5,,1.94,
5.6,,2.65,
5.7,,3.43,
5.8,,4.13,
5.9,,4.72,
6.0,99.666667,5.19,
6.1,,5.42,
6.2,,5.25,
6.3,,4.80,
6.4,,4.31,
6.5,,3.87,
6.6,,3.49,
6.7,,3.18,
6.8,,2.90,
6.9,,2.61,
7.0,99.666667,2.35,
7.1,,2.12,
7.2,,1.91,
7.3,,1.81,
7.4,,1.78,
7.5,,1.71,
7.6,,1.64,
7.7,,1.57,
7.8,,1.60,
7.9,,1.91,
8.0,99.500000,2.56,
8.1,,3.30,
8.2,,3.99,
8.3,,4.57,
8.4,,4.98,
8.5,,5.02,
8.6,,4.69,
8.7,,4.22,
8.8,,3.75,
8.9,,3.37,
9.0,99.000000,3.06,
9.1,,2.76,
9.2,,2.52,
9.3,,2.34,
9.4,,2.12,
9.5,,1.90,
9.6,,1.72,
9.7,,1.55,
9.8,,1.45,
9.9,,1.46,
10.0,98.400000,1.45,26.5
10.1,,1.48,
10.2,,1.73,
10.3,,2.24,
10.4,,2.87,
10.5,,3.55,
10.6,,4.19,
10.7,,4.63,
10.8,,4.73,
10.9,,4.30,
11.0,98.000000,3.60,
11.1,,3.04,
11.2,,2.67,
11.3,,2.51,
11.4,,2.34,
11.5,,2.14,
11.6,,2.04,
11.7,,1.69,
11.8,,1.22,
11.9,,1.07,
12.0,97.333333,1.30,
12.1,,1.89,
12.2,,2.61,
12.3,,3.16,
12.4,,3.62,
12.5,,4.31,
12.6,,4.75,
12.7,,4.53,
12.8,,4.04,
12.9,,3.58,
13.0,96.500000,3.44,
13.1,,3.31,
13.2,,3.00,
13.3,,2.84,
13.4,,2.40,
13.5,,1.79,
13.6,,1.57,
13.7,,1.69,
13.8,,1.86,
13.9,,2.22,
14.0,95.666667,3.02,
14.1,,4.03,
14.2,,4.71,
14.3,,4.44,
14.4,,3.69,
14.5,,3.22,
14.6,,3.01,
14.7,,2.74,
14.8,,2.36,
14.9,,2.19,
15.0,95.428571,2.02,
15.1,,1.64,
15.2,,1.33,
15.3,,1.15,
15.4,,1.11,
15.5,,1.31,
15.6,,1.60,
15.7,,2.01,
15.8,,2.61,
15.9,,2.94,
16.0,94.500000,2.82,
16.1,,2.76,
16.2,,2.62,
16.3,,2.41,
16.4,,2.57,
16.5,,2.80,
16.6,,2.60,
16.7,,2.28,
16.8,,2.23,
16.9,,1.99,
17.0,94.400000,1.56,
17.1,,1.41,
17.2,,1.64,
17.3,,2.07,
17.4,,2.56,
17.5,,3.11,
17.6,,3.43,
17.7,,3.22,
17.8,,2.89,
17.9,,2.45,
18.0,94.833333,1.89,
18.1,,1.47,
18.2,,1.40,
18.3,,1.49,
18.4,,1.54,
18.5,,1.50,
18.6,,1.26,
18.7,,1.06,
18.8,,0.97,
18.9,,0.81,
19.0,96.200000,0.64,
19.1,,0.61,
19.2,,0.71,
19.3,,0.69,
19.4,,0.73,
19.5,,0.98,
19.6,,1.06,
19.7,,0.88,
19.8,,0.78,
19.9,,1.13,
20.0,96.500000,1.88,24.8
20.1,,2.66,
20.2,,3.33,
20.3,,3.60,
20.4,,3.24,
20.5,,2.50,
20.6,,1.78,
20.7,,1.36,
20.8,,1.18,
20.9,,1.09,
21.0,97.500000,1.06,
21.1,,0.93,
21.2,,0.77,
21.3,,1.00,
21.4,,1.77,
21.5,,2.70,
21.6,,3.33,
21.7,,3.52,
21.8,,3.43,
21.9,,3.00,
22.0,98.000000,2.57,
22.1,,2.31,
22.2,,2.18,
22.3,,2.13,
22.4,,1.73,
22.5,,1.26,
22.6,,1.18,
22.7,,1.43,
22.8,,1.70,
22.9,,1.87,
23.0,99.833333,2.08,
23.1,,2.62,
23.2,,3.41,
23.3,,4.14,
23.4,,4.46,
23.5,,4.08,
23.6,,3.34,
23.7,,2.62,
23.8,,2.16,
23.9,,1.87,
24.0,100.428571,1.53,
24.1,,1.22,
24.2,,1.27,
24.3,,1.76,
24.4,,2.40,
24.5,,2.79,
24.6,,2.80,
24.7,,2.96,
24.8,,3.32,
24.9,,3.38,
25.0,102.000000,3.00,
25.1,,2.53,
25.2,,2.43,
25.3,,2.33,
25.4,,1.79,
25.5,,1.14,
25.6,,0.98,
25.7,,1.34,
25.8,,1.76,
25.9,,2.12,
26.0,102.833333,2.45,
26.1,,2.81,
26.2,,3.72,
26.3,,4.34,
26.4,,3.87,
26.5,,3.00,
26.6,,2.44,
26.7,,2.20,
26.8,,2.21,
26.9,,2.50,
27.0,103.800000,2.49,
27.1,,2.24,
27.2,,2.05,
27.3,,1.75,
27.4,,1.45,
27.5,,1.72,
27.6,,2.30,
27.7,,2.84,
27.8,,3.27,
27.9,,3.36,
28.0,103.833333,3.31,
28.1,,3.22,
28.2,,2.89,
28.3,,2.32,
28.4,,1.85,
28.5,,1.52,
28.6,,1.28,
28.7,,1.15,
28.8,,0.98,
28.9,,0.85,
29.0,103.666667,1.18,
29.1,,1.86,
29.2,,2.10,
29.3,,2.28,
29.4,,2.87,
29.5,,3.51,
29.6,,3.69,
29.7,,3.18,
29.8,,2.69,
29.9,,2.45,
30.0,103.166667,2.11,21.4
