数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,86.000000,3.50,19.0
0.1,,3.57,
0.2,,3.79,
0.3,,4.01,
0.4,,4.30,
0.5,,4.70,
0.6,,5.12,
0.7,,5.47,
0.8,,5.80,
0.9,,6.07,
1.0,85.333333,6.16,
1.1,,6.19,
1.2,,6.21,
1.3,,6.15,
1.4,,5.98,
1.5,,5.75,
1.6,,5.53,
1.7,,5.28,
1.8,,5.05,
1.9,,4.89,
2.0,84.750000,4.75,
2.1,,4.56,
2.2,,4.34,
2.3,,4.13,
2.4,,3.93,
2.5,,3.78,
2.6,,3.75,
2.7,,3.78,
2.8,,3.80,
2.9,,3.78,
3.0,84.600000,3.76,
3.1,,3.76,
3.2,,3.86,
3.3,,4.10,
3.4,,4.43,
3.5,,4.76,
3.6,,5.08,
3.7,,5.41,
3.8,,5.71,
3.9,,5.93,
4.0,84.500000,6.11,
4.1,,6.18,
4.2,,6.09,
4.3,,5.92,
4.4,,5.74,
4.5,,5.55,
4.6,,5.34,
4.7,,5.19,
4.8,,5.13,
4.9,,5.05,
5.0,84.166667,4.92,
5.1,,4.75,
5.2,,4.57,
5.3,,4.34,
5.4,,4.17,
5.5,,4.08,
5.6,,3.98,
5.7,,3.86,
5.8,,3.75,
5.9,,3.68,
6.0,84.000000,3.59,
6.1,,3.46,
6.2,,3.40,
6.3,,3.42,
6.4,,3.49,
6.5,,3.62,
6.6,,3.80,
6.7,,4.04,
6.8,,4.30,
6.9,,4.58,
7.0,84.000000,4.93,
7.1,,5.28,
7.2,,5.60,
7.3,,5.88,
7.4,,6.09,
7.5,,6.09,
7.6,,5.88,
7.7,,5.65,
7.8,,5.52,
7.9,,5.41,
8.0,84.000000,5.26,
8.1,,5.10,
8.2,,4.94,
8.3,,4.76,
8.4,,4.54,
8.5,,4.35,
8.6,,4.23,
8.7,,4.11,
8.8,,3.97,
8.9,,3.84,
9.0,83.666667,3.73,
9.1,,3.62,
9.2,,3.52,
9.3,,3.50,
9.4,,3.52,
9.5,,3.54,
9.6,,3.55,
9.7,,3.61,
9.8,,3.77,
9.9,,4.02,
10.0,83.166667,4.36,18.0
10.1,,4.83,
10.2,,5.40,
10.3,,6.13,
10.4,,7.86,
10.5,,9.84,
10.6,,10.82,
10.7,,12.97,
10.8,,14.09,
10.9,,13.21,
11.0,82.833333,11.87,
11.1,,12.79,
11.2,,13.87,
11.3,,13.28,
11.4,,15.27,
11.5,,16.56,
11.6,,14.14,
11.7,,10.83,
11.8,,10.50,
11.9,,10.73,
12.0,82.166667,9.60,
12.1,,9.36,
12.2,,11.19,
12.3,,11.35,
12.4,,9.92,
12.5,,10.37,
12.6,,11.68,
12.7,,12.03,
12.8,,11.69,
12.9,,13.19,
13.0,81.666667,14.22,
13.1,,13.33,
13.2,,11.66,
13.3,,10.22,
13.4,,10.87,
13.5,,10.69,
13.6,,9.59,
13.7,,10.93,
13.8,,11.88,
13.9,,10.43,
14.0,81.333333,8.28,
14.1,,8.39,
14.2,,8.93,
14.3,,8.60,
14.4,,9.28,
14.5,,11.11,
14.6,,11.67,
14.7,,11.03,
14.8,,11.90,
14.9,,12.37,
15.0,81.833333,12.22,
15.1,,11.57,
15.2,,12.50,
15.3,,12.31,
15.4,,10.34,
15.5,,8.44,
15.6,,8.27,
15.7,,9.12,
15.8,,8.74,
15.9,,8.00,
16.0,82.666667,9.05,
16.1,,10.15,
16.2,,10.49,
16.3,,10.64,
16.4,,11.96,
16.5,,13.36,
16.6,,13.28,
16.7,,15.24,
16.8,,16.35,
16.9,,14.55,
17.0,84.600000,11.64,
17.1,,10.29,
17.2,,10.69,
17.3,,11.04,
17.4,,10.57,
17.5,,11.62,
17.6,,12.31,
17.7,,13.24,
17.8,,12.92,
17.9,,12.35,
18.0,85.666667,13.07,
18.1,,13.84,
18.2,,16.26,
18.3,,17.26,
18.4,,17.68,
18.5,,16.18,
18.6,,14.96,
18.7,,15.20,
18.8,,14.86,
18.9,,13.99,
19.0,88.000000,14.34,
19.1,,14.99,
19.2,,13.20,
19.3,,10.84,
19.4,,9.67,
19.5,,10.15,
19.6,,9.78,
19.7,,8.72,
19.8,,10.38,
19.9,,11.20,
20.0,90.166667,10.40,28.4
20.1,,10.60,
20.2,,11.53,
20.3,,12.23,
20.4,,13.25,
20.5,,16.92,
20.6,,18.26,
20.7,,15.89,
20.8,,13.14,
20.9,,11.05,
21.0,92.333333,10.84,
21.1,,10.71,
21.2,,9.21,
21.3,,10.47,
21.4,,11.61,
21.5,,10.99,
21.6,,9.19,
21.7,,8.00,
21.8,,8.76,
21.9,,8.78,
22.0,93.428571,7.99,
22.1,,8.20,
22.2,,9.37,
22.3,,10.80,
22.4,,10.73,
22.5,,10.72,
22.6,,12.57,
22.7,,14.36,
22.8,,14.74,
22.9,,15.57,
23.0,96.333333,15.62,
23.1,,14.99,
23.2,,14.40,
23.3,,13.14,
23.4,,12.16,
23.5,,11.37,
23.6,,12.94,
23.7,,14.60,
23.8,,14.48,
23.9,,12.07,
24.0,97.833333,10.66,
24.1,,10.95,
24.2,,10.97,
24.3,,11.45,
24.4,,14.72,
24.5,,16.21,
24.6,,15.65,
24.7,,16.59,
24.8,,18.46,
24.9,,18.88,
25.0,99.500000,20.89,
25.1,,29.35,
25.2,,31.77,
25.3,,28.57,
25.4,,27.41,
25.5,,27.00,
25.6,,24.22,
25.7,,21.23,
25.8,,22.25,
25.9,,23.85,
26.0,100.833333,20.96,
26.1,,16.78,
