数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,81.000000,5.04,9.0
0.1,,5.09,
0.2,,4.93,
0.3,,4.71,
0.4,,4.59,
0.5,,4.66,
0.6,,4.94,
0.7,,5.20,
0.8,,5.53,
0.9,,5.95,
1.0,81.000000,6.34,
1.1,,6.92,
1.2,,7.58,
1.3,,7.98,
1.4,,8.13,
1.5,,8.26,
1.6,,8.61,
1.7,,9.02,
1.8,,9.30,
1.9,,9.48,
2.0,81.000000,9.59,
2.1,,9.49,
2.2,,9.20,
2.3,,8.75,
2.4,,8.09,
2.5,,7.58,
2.6,,7.21,
2.7,,6.78,
2.8,,6.38,
2.9,,6.06,
3.0,81.400000,5.85,
3.1,,5.71,
3.2,,5.57,
3.3,,5.32,
3.4,,4.94,
3.5,,4.57,
3.6,,4.35,
3.7,,4.24,
3.8,,4.22,
3.9,,4.34,
4.0,81.500000,4.54,
4.1,,4.90,
4.2,,5.32,
4.3,,5.84,
4.4,,6.46,
4.5,,6.85,
4.6,,7.12,
4.7,,7.43,
4.8,,7.78,
4.9,,8.06,
5.0,81.571429,8.38,
5.1,,9.05,
5.2,,9.84,
5.3,,10.36,
5.4,,10.49,
5.5,,10.35,
5.6,,9.98,
5.7,,9.32,
5.8,,8.70,
5.9,,8.28,
6.0,81.833333,7.84,
6.1,,7.30,
6.2,,6.80,
6.3,,6.38,
6.4,,5.93,
6.5,,5.54,
6.6,,5.30,
6.7,,5.12,
6.8,,4.97,
6.9,,4.82,
7.0,82.333333,4.70,
7.1,,4.60,
7.2,,4.53,
7.3,,4.65,
7.4,,4.88,
7.5,,5.12,
7.6,,5.38,
7.7,,5.70,
7.8,,6.09,
7.9,,6.57,
8.0,82.166667,7.08,
8.1,,7.53,
8.2,,7.93,
8.3,,8.35,
8.4,,8.82,
8.5,,9.23,
8.6,,9.73,
8.7,,10.29,
8.8,,10.69,
8.9,,10.92,
9.0,82.166667,10.79,
9.1,,10.08,
9.2,,9.11,
9.3,,8.24,
9.4,,7.60,
9.5,,7.24,
9.6,,6.91,
9.7,,6.56,
9.8,,6.42,
9.9,,6.32,
10.0,82.500000,5.94,11.8
10.1,,5.55,
10.2,,5.37,
10.3,,5.28,
10.4,,5.20,
10.5,,5.06,
10.6,,4.87,
10.7,,4.65,
10.8,,4.55,
10.9,,4.63,
11.0,82.600000,4.82,
11.1,,5.02,
11.2,,5.43,
11.3,,7.01,
11.4,,10.42,
11.5,,14.94,
11.6,,15.49,
11.7,,15.31,
11.8,,18.77,
11.9,,22.19,
12.0,82.666667,23.02,
12.1,,24.89,
12.2,,25.66,
12.3,,23.71,
12.4,,29.21,
12.5,,34.03,
12.6,,28.96,
12.7,,24.72,
12.8,,25.81,
12.9,,26.82,
13.0,82.833333,28.75,
13.1,,31.60,
13.2,,29.96,
13.3,,28.96,
13.4,,30.41,
13.5,,27.49,
13.6,,25.37,
13.7,,26.74,
13.8,,26.10,
13.9,,24.95,
14.0,83.000000,25.04,
14.1,,22.19,
14.2,,19.30,
14.3,,20.85,
14.4,,21.75,
14.5,,20.32,
14.6,,21.52,
14.7,,22.42,
14.8,,18.53,
14.9,,16.79,
15.0,82.666667,21.81,
15.1,,23.81,
15.2,,22.76,
15.3,,26.18,
15.4,,26.84,
15.5,,23.86,
15.6,,25.76,
15.7,,31.32,
15.8,,31.59,
15.9,,30.16,
16.0,82.571429,31.09,
16.1,,27.76,
16.2,,23.68,
16.3,,20.92,
16.4,,16.76,
16.5,,15.82,
16.6,,17.78,
16.7,,17.41,
16.8,,15.64,
16.9,,17.76,
17.0,83.400000,20.80,
17.1,,18.59,
17.2,,15.80,
17.3,,13.47,
17.4,,10.34,
17.5,,11.39,
17.6,,15.58,
17.7,,19.27,
17.8,,19.86,
17.9,,20.99,
18.0,86.000000,23.97,
18.1,,21.95,
18.2,,21.14,
18.3,,25.70,
18.4,,26.53,
18.5,,25.64,
18.6,,27.96,
18.7,,26.12,
18.8,,24.92,
18.9,,32.09,
19.0,90.200000,37.04,
19.1,,33.84,
19.2,,34.34,
19.3,,43.27,
19.4,,42.21,
19.5,,35.50,
19.6,,38.12,
19.7,,34.97,
19.8,,27.00,
19.9,,25.89,
20.0,91.500000,24.40,17.5
20.1,,20.79,
20.2,,21.46,
20.3,,24.42,
20.4,,23.05,
20.5,,22.60,
20.6,,24.49,
20.7,,20.40,
20.8,,17.96,
20.9,,22.32,
21.0,94.666667,23.43,
21.1,,22.33,
21.2,,25.82,
21.3,,27.09,
21.4,,25.29,
21.5,,29.53,
21.6,,35.22,
21.7,,33.28,
21.8,,32.69,
21.9,,40.09,
22.0,95.285714,40.26,
22.1,,36.51,
22.2,,42.85,
22.3,,43.32,
22.4,,33.24,
22.5,,32.06,
22.6,,35.43,
22.7,,31.32,
22.8,,29.26,
22.9,,30.23,
23.0,97.833333,26.31,
23.1,,24.44,
23.2,,28.00,
23.3,,25.73,
23.4,,22.40,
23.5,,27.31,
23.6,,28.44,
23.7,,24.76,
23.8,,26.56,
23.9,,29.23,
24.0,97.857143,27.94,
24.1,,31.07,
24.2,,39.09,
24.3,,37.20,
24.4,,31.25,
24.5,,32.62,
24.6,,30.70,
24.7,,29.40,
24.8,,35.76,
24.9,,36.33,
25.0,98.600000,30.25,
25.1,,30.71,
25.2,,35.04,
25.3,,32.57,
25.4,,29.57,
25.5,,32.78,
25.6,,29.65,
25.7,,22.01,
25.8,,19.07,
25.9,,15.98,
26.0,99.000000,15.00,
26.1,,17.69,
26.2,,18.93,
26.3,,17.48,
26.4,,16.74,
26.5,,18.30,
26.6,,16.96,
26.7,,15.29,
26.8,,17.04,
26.9,,17.34,
27.0,99.833333,18.02,
27.1,,21.44,
27.2,,22.36,
27.3,,22.18,
27.4,,26.52,
27.5,,31.03,
27.6,,30.31,
27.7,,30.62,
27.8,,34.14,
27.9,,28.89,
28.0,101.500000,23.14,
28.1,,27.84,
28.2,,28.75,
28.3,,23.52,
28.4,,22.69,
28.5,,23.17,
28.6,,21.48,
28.7,,24.59,
28.8,,30.76,
28.9,,28.81,
29.0,103.666667,25.92,
29.1,,28.38,
29.2,,25.97,
29.3,,22.42,
29.4,,21.11,
29.5,,17.82,
29.6,,15.53,
29.7,,15.86,
29.8,,16.17,
29.9,,14.61,
30.0,105.142857,13.08,19.6
