数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,99.000000,3.42,10.0
0.1,,3.23,
0.2,,2.98,
0.3,,2.77,
0.4,,2.56,
0.5,,2.38,
0.6,,2.27,
0.7,,2.17,
0.8,,2.07,
0.9,,2.02,
1.0,99.666667,1.96,
1.1,,1.86,
1.2,,1.76,
1.3,,1.65,
1.4,,1.56,
1.5,,1.52,
1.6,,1.52,
1.7,,1.55,
1.8,,1.64,
1.9,,1.78,
2.0,100.750000,2.04,
2.1,,2.43,
2.2,,2.82,
2.3,,3.26,
2.4,,3.70,
2.5,,4.10,
2.6,,4.51,
2.7,,4.89,
2.8,,5.15,
2.9,,5.04,
3.0,101.000000,4.62,
3.1,,4.17,
3.2,,3.78,
3.3,,3.41,
3.4,,3.07,
3.5,,2.73,
3.6,,2.48,
3.7,,2.31,
3.8,,2.20,
3.9,,2.08,
4.0,101.500000,1.96,
4.1,,1.85,
4.2,,1.69,
4.3,,1.59,
4.4,,1.55,
4.5,,1.50,
4.6,,1.45,
4.7,,1.39,
4.8,,1.32,
4.9,,1.28,
5.0,102.500000,1.30,
5.1,,1.32,
5.2,,1.34,
5.3,,1.47,
5.4,,1.70,
5.5,,1.98,
5.6,,2.30,
5.7,,2.57,
5.8,,2.80,
5.9,,3.09,
6.0,102.833333,3.44,
6.1,,3.79,
6.2,,4.13,
6.3,,4.46,
6.4,,4.79,
6.5,,5.04,
6.6,,5.13,
6.7,,5.13,
6.8,,5.03,
6.9,,4.68,
7.0,102.666667,4.22,
7.1,,3.80,
7.2,,3.42,
7.3,,3.07,
7.4,,2.85,
7.5,,2.68,
7.6,,2.49,
7.7,,2.34,
7.8,,2.19,
7.9,,2.04,
8.0,102.000000,1.97,
8.1,,1.90,
8.2,,1.78,
8.3,,1.67,
8.4,,1.56,
8.5,,1.46,
8.6,,1.46,
8.7,,1.47,
8.8,,1.46,
8.9,,1.50,
9.0,101.500000,1.63,
9.1,,1.88,
9.2,,2.19,
9.3,,2.52,
9.4,,2.82,
9.5,,3.15,
9.6,,3.50,
9.7,,3.85,
9.8,,4.23,
9.9,,4.58,
10.0,100.833333,4.77,10.7
10.1,,4.71,
10.2,,4.38,
10.3,,4.28,
10.4,,4.87,
10.5,,5.41,
10.6,,5.30,
10.7,,5.28,
10.8,,5.58,
10.9,,5.72,
11.0,100.333333,5.25,
11.1,,4.32,
11.2,,3.59,
11.3,,3.50,
11.4,,3.93,
11.5,,4.66,
11.6,,5.17,
11.7,,5.62,
11.8,,6.91,
11.9,,9.03,
12.0,100.000000,10.73,
12.1,,10.06,
12.2,,9.44,
12.3,,9.62,
12.4,,8.60,
12.5,,8.52,
12.6,,8.93,
12.7,,8.92,
12.8,,7.87,
12.9,,6.61,
13.0,100.000000,6.53,
13.1,,7.05,
13.2,,8.14,
13.3,,9.34,
13.4,,11.04,
13.5,,11.70,
13.6,,12.59,
13.7,,13.36,
13.8,,14.29,
13.9,,14.06,
14.0,100.800000,12.52,
14.1,,12.15,
14.2,,12.37,
14.3,,11.21,
14.4,,9.43,
14.5,,8.53,
14.6,,8.37,
14.7,,7.90,
14.8,,6.59,
14.9,,6.12,
15.0,101.200000,6.24,
15.1,,6.13,
15.2,,6.49,
15.3,,7.71,
15.4,,8.98,
15.5,,9.56,
15.6,,10.25,
15.7,,12.27,
15.8,,14.03,
15.9,,14.60,
16.0,102.000000,14.42,
16.1,,13.64,
16.2,,12.24,
16.3,,11.38,
16.4,,11.25,
16.5,,11.93,
16.6,,11.47,
16.7,,10.05,
16.8,,8.90,
16.9,,9.28,
17.0,102.600000,9.38,
17.1,,7.83,
17.2,,6.32,
17.3,,5.92,
17.4,,5.69,
17.5,,5.52,
17.6,,5.96,
17.7,,7.55,
17.8,,8.44,
17.9,,9.04,
18.0,102.800000,10.40,
18.1,,12.14,
18.2,,12.88,
18.3,,12.94,
18.4,,13.54,
18.5,,13.22,
18.6,,11.54,
18.7,,9.87,
18.8,,9.62,
18.9,,10.25,
19.0,102.833333,9.69,
19.1,,8.03,
19.2,,7.26,
19.3,,7.44,
19.4,,7.02,
19.5,,5.98,
19.6,,6.51,
19.7,,8.52,
19.8,,9.33,
19.9,,9.49,
20.0,103.000000,10.56,11.0
20.1,,11.16,
20.2,,11.81,
20.3,,12.18,
20.4,,13.51,
20.5,,14.64,
20.6,,15.20,
20.7,,14.62,
20.8,,13.60,
20.9,,12.47,
21.0,103.333333,11.40,
21.1,,11.09,
21.2,,11.40,
21.3,,10.74,
21.4,,9.26,
21.5,,8.28,
21.6,,8.08,
21.7,,7.36,
21.8,,5.85,
21.9,,5.41,
22.0,103.833333,5.75,
22.1,,6.19,
22.2,,7.40,
22.3,,8.82,
22.4,,10.22,
22.5,,11.46,
22.6,,12.67,
22.7,,14.00,
22.8,,15.77,
22.9,,15.71,
23.0,104.571429,14.19,
23.1,,13.19,
23.2,,12.34,
23.3,,11.02,
23.4,,9.97,
23.5,,10.39,
23.6,,10.62,
23.7,,9.80,
23.8,,8.90,
23.9,,8.56,
24.0,106.166667,7.96,
24.1,,7.01,
24.2,,5.94,
24.3,,5.62,
24.4,,5.50,
24.5,,5.96,
24.6,,7.08,
24.7,,8.72,
24.8,,9.89,
24.9,,10.63,
25.0,107.833333,11.70,
25.1,,13.77,
25.2,,15.06,
25.3,,15.55,
25.4,,16.04,
25.5,,16.16,
25.6,,15.86,
25.7,,14.23,
25.8,,12.79,
25.9,,12.30,
26.0,109.666667,11.63,
26.1,,10.19,
26.2,,9.09,
26.3,,9.04,
26.4,,8.30,
26.5,,7.17,
26.6,,6.81,
26.7,,7.09,
26.8,,7.01,
26.9,,6.72,
27.0,111.666667,7.21,
27.1,,8.55,
27.2,,9.19,
27.3,,9.70,
27.4,,10.75,
27.5,,12.49,
27.6,,13.63,
27.7,,13.98,
27.8,,14.27,
27.9,,15.37,
28.0,113.666667,15.83,
28.1,,16.45,
28.2,,17.76,
28.3,,17.70,
28.4,,16.36,
28.5,,15.20,
28.6,,14.27,
28.7,,13.55,
28.8,,12.71,
28.9,,11.74,
29.0,115.666667,11.88,
29.1,,12.26,
29.2,,11.23,
29.3,,8.95,
29.4,,7.58,
29.5,,6.27,
29.6,,5.21,
29.7,,4.24,
29.8,,3.75,
29.9,,3.90,
30.0,117.333333,4.32,25.9
