数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,79.000000,5.17,0.0
0.1,,5.04,
0.2,,5.08,
0.3,,5.10,
0.4,,4.99,
0.5,,4.88,
0.6,,4.81,
0.7,,4.69,
0.8,,4.57,
0.9,,4.51,
1.0,79.000000,4.47,
1.1,,4.45,
1.2,,4.46,
1.3,,4.55,
1.4,,4.69,
1.5,,4.84,
1.6,,5.09,
1.7,,5.42,
1.8,,5.74,
1.9,,6.01,
2.0,79.000000,6.19,
2.1,,6.23,
2.2,,6.09,
2.3,,5.92,
2.4,,5.82,
2.5,,5.75,
2.6,,5.66,
2.7,,5.53,
2.8,,5.40,
2.9,,5.28,
3.0,79.000000,5.11,
3.1,,5.03,
3.2,,5.07,
3.3,,5.12,
3.4,,5.12,
3.5,,5.07,
3.6,,5.04,
3.7,,5.02,
3.8,,4.91,
3.9,,4.84,
4.0,79.000000,4.82,
4.1,,4.77,
4.2,,4.66,
4.3,,4.55,
4.4,,4.47,
4.5,,4.38,
4.6,,4.22,
4.7,,4.13,
4.8,,4.14,
4.9,,4.22,
5.0,79.000000,4.38,
5.1,,4.59,
5.2,,4.85,
5.3,,5.12,
5.4,,5.37,
5.5,,5.69,
5.6,,6.05,
5.7,,6.35,
5.8,,6.53,
5.9,,6.55,
6.0,79.000000,6.42,
6.1,,6.17,
6.2,,5.91,
6.3,,5.72,
6.4,,5.57,
6.5,,5.39,
6.6,,5.11,
6.7,,4.79,
6.8,,4.58,
6.9,,4.47,
7.0,79.000000,4.41,
7.1,,4.43,
7.2,,4.45,
7.3,,4.42,
7.4,,4.35,
7.5,,4.27,
7.6,,4.18,
7.7,,4.07,
7.8,,4.03,
7.9,,4.10,
8.0,78.666667,4.22,
8.1,,4.32,
8.2,,4.44,
8.3,,4.58,
8.4,,4.61,
8.5,,4.57,
8.6,,4.69,
8.7,,4.93,
8.8,,5.18,
8.9,,5.42,
9.0,78.500000,5.61,
9.1,,5.87,
9.2,,6.17,
9.3,,6.30,
9.4,,6.22,
9.5,,6.03,
9.6,,5.74,
9.7,,5.43,
9.8,,5.25,
9.9,,5.16,
10.0,78.333333,5.02,4.6
10.1,,4.91,
10.2,,4.81,
10.3,,4.71,
10.4,,4.65,
10.5,,4.57,
10.6,,4.47,
10.7,,4.37,
10.8,,4.35,
10.9,,4.41,
11.0,78.166667,4.35,
11.1,,4.20,
11.2,,4.34,
11.3,,4.68,
11.4,,5.16,
11.5,,5.50,
11.6,,5.46,
11.7,,5.78,
11.8,,6.44,
11.9,,6.83,
12.0,78.000000,6.71,
12.1,,6.08,
12.2,,5.30,
12.3,,4.80,
12.4,,4.65,
12.5,,4.46,
12.6,,4.16,
12.7,,3.99,
12.8,,4.20,
12.9,,4.83,
13.0,78.000000,5.45,
13.1,,5.11,
13.2,,4.56,
13.3,,4.52,
13.4,,4.41,
13.5,,4.30,
13.6,,4.31,
13.7,,4.67,
13.8,,5.23,
13.9,,5.75,
14.0,78.333333,6.24,
14.1,,6.85,
14.2,,7.56,
14.3,,8.02,
14.4,,7.61,
14.5,,7.01,
14.6,,7.13,
14.7,,6.99,
14.8,,6.45,
14.9,,5.92,
15.0,78.500000,5.67,
15.1,,5.64,
15.2,,5.40,
15.3,,5.30,
15.4,,5.34,
15.5,,5.36,
15.6,,5.57,
15.7,,5.58,
15.8,,5.34,
15.9,,5.24,
16.0,79.333333,4.85,
16.1,,4.36,
16.2,,4.01,
16.3,,3.59,
16.4,,3.11,
16.5,,2.67,
16.6,,2.61,
16.7,,3.01,
16.8,,3.58,
16.9,,4.21,
17.0,80.166667,4.71,
17.1,,4.95,
17.2,,4.55,
17.3,,3.40,
17.4,,2.44,
17.5,,2.07,
17.6,,2.15,
17.7,,2.34,
17.8,,2.64,
17.9,,3.29,
18.0,81.166667,4.22,
18.1,,5.31,
18.2,,6.15,
18.3,,6.04,
18.4,,5.45,
18.5,,5.05,
18.6,,4.66,
18.7,,4.23,
18.8,,3.68,
18.9,,2.97,
19.0,81.833333,2.48,
19.1,,2.36,
19.2,,2.52,
19.3,,3.08,
19.4,,3.99,
19.5,,4.84,
19.6,,5.13,
19.7,,4.90,
19.8,,4.71,
19.9,,4.90,
20.0,82.833333,5.06,17.0
20.1,,4.83,
20.2,,4.36,
20.3,,3.81,
20.4,,3.31,
20.5,,3.11,
20.6,,3.30,
20.7,,3.74,
20.8,,4.69,
20.9,,5.53,
21.0,83.666667,5.13,
21.1,,4.27,
21.2,,3.71,
21.3,,3.44,
21.4,,3.28,
21.5,,3.17,
21.6,,3.17,
21.7,,3.20,
21.8,,3.47,
21.9,,3.82,
22.0,84.500000,4.36,
22.1,,5.51,
22.2,,6.41,
22.3,,6.01,
22.4,,5.54,
22.5,,5.51,
22.6,,5.11,
22.7,,4.47,
22.8,,3.75,
22.9,,3.32,
23.0,85.000000,3.22,
23.1,,3.39,
23.2,,3.97,
23.3,,4.48,
23.4,,4.65,
23.5,,4.53,
23.6,,4.02,
23.7,,3.60,
23.8,,3.36,
23.9,,3.20,
24.0,85.500000,3.27,
24.1,,3.55,
24.2,,3.87,
24.3,,3.94,
24.4,,3.90,
24.5,,4.12,
24.6,,4.75,
24.7,,5.56,
24.8,,6.14,
24.9,,5.89,
25.0,86.166667,5.10,
25.1,,4.45,
25.2,,3.74,
25.3,,3.18,
25.4,,3.14,
25.5,,3.24,
25.6,,3.15,
25.7,,3.04,
25.8,,3.20,
25.9,,3.64,
26.0,86.500000,4.08,
26.1,,4.54,
26.2,,4.82,
26.3,,5.01,
26.4,,5.83,
26.5,,6.56,
26.6,,6.33,
26.7,,5.59,
26.8,,4.94,
26.9,,4.67,
27.0,86.333333,4.71,
27.1,,5.18,
27.2,,6.15,
27.3,,6.77,
27.4,,6.71,
27.5,,6.48,
27.6,,6.64,
27.7,,7.08,
27.8,,7.31,
27.9,,7.14,
28.0,86.000000,6.71,
28.1,,6.28,
28.2,,5.66,
28.3,,5.07,
28.4,,4.76,
28.5,,5.06,
28.6,,5.61,
28.7,,5.94,
28.8,,6.09,
28.9,,5.89,
29.0,85.833333,5.53,
29.1,,5.31,
29.2,,5.04,
29.3,,4.56,
29.4,,4.20,
29.5,,3.94,
29.6,,3.53,
29.7,,3.27,
29.8,,3.59,
29.9,,4.18,
30.0,85.166667,4.57,25.7
30.1,,4.79,
30.2,,4.73,
30.3,,4.31,
30.4,,3.84,
30.5,,3.45,
30.6,,3.24,
30.7,,3.23,
30.8,,3.35,
30.9,,3.37,
31.0,84.666667,3.26,
31.1,,3.22,
31.2,,3.54,
31.3,,3.99,
31.4,,4.50,
31.5,,5.13,
31.6,,5.05,
31.7,,4.70,
31.8,,4.48,
31.9,,3.74,
32.0,84.333333,3.00,
32.1,,2.81,
32.2,,2.74,
32.3,,2.72,
32.4,,2.77,
32.5,,2.94,
32.6,,3.44,
32.7,,4.44,
32.8,,5.63,
32.9,,6.14,
33.0,83.833333,6.04,
33.1,,5.92,
33.2,,5.53,
33.3,,4.94,
33.4,,4.65,
33.5,,4.77,
33.6,,5.02,
33.7,,5.25,
33.8,,5.57,
33.9,,5.97,
34.0,83.500000,6.28,
34.1,,6.34,
34.2,,6.04,
34.3,,6.05,
34.4,,6.04,
34.5,,5.45,
34.6,,5.06,
34.7,,5.11,
34.8,,5.22,
34.9,,5.01,
35.0,83.333333,4.74,
35.1,,4.96,
35.2,,5.53,
35.3,,5.94,
35.4,,5.75,
35.5,,5.22,
35.6,,4.82,
35.7,,4.41,
35.8,,4.00,
35.9,,3.68,
36.0,83.166667,3.56,
36.1,,3.57,
36.2,,3.52,
36.3,,3.45,
