数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,119.000000,2.02,5.3
0.1,,1.81,
0.2,,1.73,
0.3,,1.99,
0.4,,2.41,
0.5,,2.83,
0.6,,3.16,
0.7,,3.63,
0.8,,3.99,
0.9,,4.15,
1.0,121.000000,4.28,
1.1,,4.22,
1.2,,4.06,
1.3,,3.86,
1.4,,3.61,
1.5,,3.38,
1.6,,3.21,
1.7,,3.06,
1.8,,2.90,
1.9,,2.76,
2.0,122.250000,2.60,
2.1,,2.45,
2.2,,2.35,
2.3,,2.22,
2.4,,2.12,
2.5,,2.04,
2.6,,1.95,
2.7,,1.91,
2.8,,1.93,
2.9,,1.97,
3.0,123.000000,2.04,
3.1,,2.15,
3.2,,2.31,
3.3,,2.50,
3.4,,2.69,
3.5,,2.84,
3.6,,2.98,
3.7,,3.17,
3.8,,3.24,
3.9,,3.19,
4.0,123.333333,3.18,
4.1,,3.16,
4.2,,3.09,
4.3,,2.97,
4.4,,2.82,
4.5,,2.63,
4.6,,2.42,
4.7,,2.25,
4.8,,2.15,
4.9,,2.11,
5.0,124.000000,2.02,
5.1,,1.88,
5.2,,1.79,
5.3,,1.73,
5.4,,1.71,
5.5,,1.69,
5.6,,1.71,
5.7,,1.81,
5.8,,1.93,
5.9,,2.08,
6.0,123.333333,2.24,
6.1,,2.36,
6.2,,2.46,
6.3,,2.60,
6.4,,2.83,
6.5,,3.09,
6.6,,3.31,
6.7,,3.54,
6.8,,3.76,
6.9,,3.93,
7.0,122.833333,4.01,
7.1,,3.97,
7.2,,3.86,
7.3,,3.73,
7.4,,3.59,
7.5,,3.39,
7.6,,3.13,
7.7,,2.89,
7.8,,2.65,
7.9,,2.47,
8.0,121.833333,2.31,
8.1,,2.16,
8.2,,2.06,
8.3,,1.96,
8.4,,1.87,
8.5,,1.79,
8.6,,1.74,
8.7,,1.70,
8.8,,1.65,
8.9,,1.57,
9.0,121.333333,1.54,
9.1,,1.63,
9.2,,1.78,
9.3,,1.93,
9.4,,2.09,
9.5,,2.20,
9.6,,2.30,
9.7,,2.45,
9.8,,2.66,
9.9,,2.89,
10.0,121.166667,3.07,0.0
10.1,,3.26,
10.2,,3.51,
10.3,,3.74,
10.4,,3.80,
10.5,,3.71,
10.6,,3.56,
10.7,,3.40,
10.8,,3.24,
10.9,,3.08,
11.0,121.333333,2.64,
11.1,,2.42,
11.2,,3.27,
11.3,,3.49,
11.4,,3.56,
11.5,,4.32,
11.6,,5.30,
11.7,,5.85,
11.8,,6.04,
11.9,,6.71,
12.0,121.500000,6.53,
12.1,,6.22,
12.2,,6.45,
12.3,,6.82,
12.4,,7.36,
12.5,,7.79,
12.6,,7.76,
12.7,,7.96,
12.8,,8.20,
12.9,,8.14,
13.0,121.833333,8.10,
13.1,,7.51,
13.2,,7.08,
13.3,,7.09,
13.4,,6.89,
13.5,,6.61,
13.6,,6.29,
13.7,,6.71,
13.8,,7.13,
13.9,,7.01,
14.0,122.000000,7.23,
14.1,,7.20,
14.2,,7.84,
14.3,,8.72,
14.4,,9.00,
14.5,,9.56,
14.6,,9.41,
14.7,,9.22,
14.8,,10.40,
14.9,,10.13,
15.0,122.333333,9.29,
15.1,,8.77,
15.2,,8.30,
15.3,,8.86,
15.4,,8.75,
15.5,,8.00,
15.6,,8.17,
15.7,,8.63,
15.8,,8.48,
15.9,,8.63,
16.0,122.833333,7.97,
16.1,,8.25,
16.2,,9.59,
16.3,,9.62,
16.4,,9.91,
16.5,,9.57,
16.6,,8.93,
16.7,,9.34,
16.8,,9.79,
16.9,,10.14,
17.0,123.166667,10.61,
17.1,,9.83,
17.2,,8.69,
17.3,,8.63,
17.4,,8.48,
17.5,,8.16,
17.6,,8.26,
17.7,,8.25,
17.8,,8.23,
17.9,,8.61,
18.0,123.833333,8.19,
18.1,,7.90,
18.2,,7.86,
18.3,,7.89,
18.4,,7.79,
18.5,,7.62,
18.6,,8.19,
18.7,,7.46,
18.8,,6.85,
18.9,,6.86,
19.0,124.333333,5.98,
19.1,,6.67,
19.2,,7.20,
19.3,,7.23,
19.4,,7.97,
19.5,,7.36,
19.6,,6.97,
19.7,,7.67,
19.8,,8.03,
19.9,,8.62,
20.0,125.000000,8.54,0.0
20.1,,7.70,
20.2,,7.33,
20.3,,6.62,
20.4,,6.88,
20.5,,7.43,
20.6,,7.00,
20.7,,7.08,
20.8,,7.11,
20.9,,6.89,
21.0,125.333333,7.14,
21.1,,7.40,
21.2,,7.37,
21.3,,7.22,
21.4,,7.15,
21.5,,7.31,
21.6,,7.86,
21.7,,7.69,
21.8,,7.65,
21.9,,8.18,
22.0,126.600000,7.68,
22.1,,7.67,
22.2,,7.77,
22.3,,7.27,
22.4,,7.04,
22.5,,6.38,
22.6,,6.31,
22.7,,6.74,
22.8,,6.45,
22.9,,7.02,
23.0,127.166667,7.95,
23.1,,9.13,
23.2,,10.40,
23.3,,9.84,
23.4,,9.41,
23.5,,8.54,
23.6,,7.97,
23.7,,8.65,
23.8,,8.21,
23.9,,7.99,
24.0,129.000000,8.57,
24.1,,9.47,
24.2,,9.68,
24.3,,8.56,
24.4,,8.44,
24.5,,7.89,
24.6,,7.79,
24.7,,9.30,
24.8,,9.22,
24.9,,9.34,
25.0,129.666667,8.16,
25.1,,7.20,
25.2,,8.40,
25.3,,8.22,
25.4,,8.49,
25.5,,9.27,
25.6,,9.58,
25.7,,10.06,
25.8,,9.12,
25.9,,8.22,
26.0,131.666667,7.92,
26.1,,7.90,
26.2,,8.51,
26.3,,8.15,
26.4,,8.01,
26.5,,7.90,
26.6,,7.97,
26.7,,8.63,
26.8,,8.76,
26.9,,8.97,
27.0,132.714286,9.48,
27.1,,9.77,
27.2,,10.52,
27.3,,11.00,
27.4,,10.60,
27.5,,9.76,
27.6,,9.06,
27.7,,9.12,
27.8,,8.10,
27.9,,7.50,
28.0,135.833333,8.00,
28.1,,7.79,
28.2,,8.45,
28.3,,9.06,
28.4,,8.98,
28.5,,9.16,
28.6,,9.58,
28.7,,10.96,
28.8,,11.09,
28.9,,10.78,
29.0,136.714286,10.92,
29.1,,9.57,
29.2,,9.12,
29.3,,8.68,
29.4,,7.32,
29.5,,6.68,
29.6,,5.81,
29.7,,5.18,
29.8,,5.06,
29.9,,4.83,
30.0,140.166667,4.61,0.0
30.1,,4.81,
30.2,,5.29,
30.3,,5.43,
30.4,,5.62,
30.5,,5.94,
30.6,,5.81,
30.7,,5.66,
30.8,,6.04,
30.9,,6.87,
31.0,142.000000,7.54,
31.1,,7.59,
31.2,,7.95,
31.3,,8.72,
31.4,,9.20,
31.5,,9.43,
31.6,,9.38,
