数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,66.000000,3.71,5.1
0.1,,3.90,
0.2,,4.16,
0.3,,4.54,
0.4,,4.98,
0.5,,5.39,
0.6,,5.70,
0.7,,5.94,
0.8,,6.39,
0.9,,7.29,
1.0,65.333333,8.40,
1.1,,9.37,
1.2,,9.93,
1.3,,10.23,
1.4,,10.53,
1.5,,10.62,
1.6,,10.39,
1.7,,10.08,
1.8,,9.86,
1.9,,9.62,
2.0,64.750000,9.31,
2.1,,9.01,
2.2,,8.71,
2.3,,8.45,
2.4,,8.19,
2.5,,7.72,
2.6,,7.15,
2.7,,6.69,
2.8,,6.31,
2.9,,5.96,
3.0,64.600000,5.62,
3.1,,5.30,
3.2,,5.06,
3.3,,4.95,
3.4,,4.84,
3.5,,4.66,
3.6,,4.57,
3.7,,4.55,
3.8,,4.47,
3.9,,4.33,
4.0,63.800000,4.23,
4.1,,4.23,
4.2,,4.24,
4.3,,4.15,
4.4,,3.91,
4.5,,3.65,
4.6,,3.47,
4.7,,3.34,
4.8,,3.21,
4.9,,3.11,
5.0,63.400000,3.08,
5.1,,3.10,
5.2,,3.13,
5.3,,3.13,
5.4,,3.06,
5.5,,2.98,
5.6,,3.03,
5.7,,3.11,
5.8,,3.08,
5.9,,3.02,
6.0,63.600000,3.00,
6.1,,2.98,
6.2,,3.02,
6.3,,3.14,
6.4,,3.19,
6.5,,3.17,
6.6,,3.13,
6.7,,3.11,
6.8,,3.20,
6.9,,3.33,
7.0,63.666667,3.47,
7.1,,3.64,
7.2,,3.80,
7.3,,4.03,
7.4,,4.30,
7.5,,4.57,
7.6,,4.83,
7.7,,5.05,
7.8,,5.35,
7.9,,5.78,
8.0,63.666667,6.15,
8.1,,6.32,
8.2,,6.55,
8.3,,7.11,
8.4,,7.71,
8.5,,8.11,
8.6,,8.35,
8.7,,8.30,
8.8,,8.23,
8.9,,8.51,
9.0,63.833333,9.15,
9.1,,9.96,
9.2,,10.49,
9.3,,10.77,
9.4,,11.06,
9.5,,11.31,
9.6,,11.39,
9.7,,11.34,
9.8,,11.14,
9.9,,10.68,
10.0,64.000000,10.20,7.5
10.1,,10.29,
10.2,,11.02,
10.3,,11.43,
10.4,,11.00,
10.5,,10.46,
10.6,,10.31,
10.7,,10.03,
10.8,,9.82,
10.9,,9.19,
11.0,64.333333,7.89,
11.1,,6.87,
11.2,,6.47,
11.3,,6.69,
11.4,,6.97,
11.5,,6.93,
11.6,,6.51,
11.7,,5.95,
11.8,,5.63,
11.9,,5.48,
12.0,64.500000,5.18,
12.1,,4.89,
12.2,,4.74,
12.3,,4.77,
12.4,,5.08,
12.5,,5.40,
12.6,,5.45,
12.7,,5.47,
12.8,,5.46,
12.9,,5.30,
13.0,64.666667,5.32,
13.1,,5.06,
13.2,,4.49,
13.3,,4.40,
13.4,,4.40,
13.5,,4.39,
13.6,,4.83,
13.7,,5.48,
13.8,,5.59,
13.9,,4.85,
14.0,65.166667,4.06,
14.1,,3.53,
14.2,,3.15,
14.3,,2.99,
14.4,,2.98,
14.5,,2.97,
14.6,,2.95,
14.7,,3.17,
14.8,,3.61,
14.9,,3.87,
15.0,65.600000,3.89,
15.1,,3.79,
15.2,,3.72,
15.3,,3.65,
15.4,,3.51,
15.5,,3.32,
15.6,,3.13,
15.7,,3.19,
15.8,,3.40,
15.9,,3.51,
16.0,65.666667,3.70,
16.1,,4.03,
16.2,,4.20,
16.3,,4.00,
16.4,,3.92,
16.5,,4.16,
16.6,,4.21,
16.7,,4.21,
16.8,,4.00,
16.9,,3.75,
17.0,65.833333,4.00,
17.1,,4.36,
17.2,,4.54,
17.3,,4.56,
17.4,,4.63,
17.5,,4.92,
17.6,,4.83,
17.7,,4.31,
17.8,,3.84,
17.9,,3.57,
18.0,66.333333,3.44,
18.1,,3.38,
18.2,,3.32,
18.3,,3.19,
18.4,,3.13,
18.5,,3.24,
18.6,,3.56,
18.7,,3.80,
18.8,,3.82,
18.9,,3.87,
19.0,66.500000,3.94,
19.1,,3.91,
19.2,,4.23,
19.3,,4.92,
19.4,,5.04,
19.5,,4.72,
19.6,,4.63,
19.7,,4.68,
19.8,,4.88,
19.9,,5.36,
20.0,66.857143,6.04,7.2
20.1,,6.58,
20.2,,6.82,
20.3,,6.93,
20.4,,6.88,
20.5,,6.81,
20.6,,7.19,
20.7,,7.45,
20.8,,7.05,
20.9,,6.60,
21.0,67.666667,6.40,
21.1,,6.27,
21.2,,6.20,
21.3,,6.26,
21.4,,6.16,
21.5,,5.57,
21.6,,4.90,
21.7,,4.46,
21.8,,4.30,
21.9,,4.22,
22.0,68.500000,4.10,
22.1,,3.98,
22.2,,3.95,
22.3,,4.02,
22.4,,4.23,
22.5,,4.53,
22.6,,4.44,
22.7,,4.20,
22.8,,4.11,
22.9,,3.95,
23.0,69.333333,3.83,
23.1,,3.93,
23.2,,4.08,
23.3,,3.95,
23.4,,3.67,
23.5,,3.72,
23.6,,4.09,
23.7,,4.65,
23.8,,5.34,
23.9,,5.80,
24.0,70.333333,5.90,
24.1,,5.75,
24.2,,5.46,
24.3,,5.43,
24.4,,5.81,
24.5,,6.35,
24.6,,6.88,
24.7,,7.19,
24.8,,7.56,
24.9,,8.31,
25.0,71.000000,9.11,
25.1,,9.79,
25.2,,10.58,
25.3,,10.78,
25.4,,10.26,
25.5,,9.80,
25.6,,9.63,
25.7,,9.61,
25.8,,9.03,
25.9,,8.38,
26.0,71.500000,7.98,
26.1,,7.40,
26.2,,7.02,
26.3,,6.84,
26.4,,6.71,
26.5,,6.56,
26.6,,6.30,
26.7,,6.17,
26.8,,6.23,
26.9,,6.29,
27.0,71.833333,6.27,
27.1,,6.15,
27.2,,5.66,
27.3,,4.84,
27.4,,4.25,
27.5,,4.26,
27.6,,4.53,
27.7,,4.76,
27.8,,5.06,
27.9,,5.43,
28.0,72.333333,5.27,
28.1,,4.65,
28.2,,4.37,
28.3,,4.58,
28.4,,5.14,
28.5,,5.72,
28.6,,6.26,
28.7,,6.60,
28.8,,6.65,
28.9,,6.81,
29.0,72.500000,7.07,
29.1,,7.19,
29.2,,7.53,
29.3,,8.80,
29.4,,9.91,
29.5,,9.92,
29.6,,9.51,
29.7,,8.70,
29.8,,7.63,
29.9,,6.66,
30.0,72.666667,5.94,8.6
