数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,112.000000,6.22,26.3
0.1,,6.84,
0.2,,7.35,
0.3,,7.47,
0.4,,7.05,
0.5,,6.40,
0.6,,5.98,
0.7,,5.87,
0.8,,5.88,
0.9,,5.96,
1.0,112.000000,5.74,
1.1,,5.11,
1.2,,4.56,
1.3,,4.22,
1.4,,3.98,
1.5,,3.83,
1.6,,3.68,
1.7,,3.53,
1.8,,3.45,
1.9,,3.43,
2.0,111.500000,3.55,
2.1,,3.80,
2.2,,4.11,
2.3,,4.48,
2.4,,4.89,
2.5,,5.29,
2.6,,5.69,
2.7,,5.98,
2.8,,6.18,
2.9,,6.36,
3.0,111.400000,6.29,
3.1,,6.03,
3.2,,5.83,
3.3,,5.53,
3.4,,5.08,
3.5,,4.78,
3.6,,4.68,
3.7,,4.55,
3.8,,4.28,
3.9,,4.09,
4.0,111.333333,4.14,
4.1,,4.40,
4.2,,4.74,
4.3,,5.07,
4.4,,5.52,
4.5,,6.16,
4.6,,6.80,
4.7,,7.16,
4.8,,7.29,
4.9,,7.48,
5.0,111.166667,7.56,
5.1,,7.27,
5.2,,6.85,
5.3,,6.61,
5.4,,6.22,
5.5,,5.66,
5.6,,5.38,
5.7,,5.26,
5.8,,5.29,
5.9,,5.50,
6.0,111.000000,5.47,
6.1,,5.08,
6.2,,4.70,
6.3,,4.55,
6.4,,4.62,
6.5,,5.00,
6.6,,5.82,
6.7,,6.56,
6.8,,6.66,
6.9,,6.62,
7.0,111.000000,6.72,
7.1,,6.72,
7.2,,6.45,
7.3,,6.00,
7.4,,5.50,
7.5,,5.00,
7.6,,4.60,
7.7,,4.29,
7.8,,4.00,
7.9,,3.74,
8.0,111.000000,3.53,
8.1,,3.33,
8.2,,3.22,
8.3,,3.18,
8.4,,3.12,
8.5,,3.07,
8.6,,2.99,
8.7,,2.96,
8.8,,3.03,
8.9,,3.19,
