数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,87.000000,5.10,16.1
0.1,,5.56,
0.2,,6.01,
0.3,,6.44,
0.4,,6.79,
0.5,,6.98,
0.6,,6.94,
0.7,,6.58,
0.8,,6.06,
0.9,,5.54,
1.0,86.333333,5.08,
1.1,,4.73,
1.2,,4.41,
1.3,,4.19,
1.4,,4.11,
1.5,,4.11,
1.6,,4.11,
1.7,,4.13,
1.8,,4.16,
1.9,,4.22,
2.0,86.250000,4.40,
2.1,,4.68,
2.2,,5.00,
2.3,,5.36,
2.4,,5.72,
2.5,,5.99,
2.6,,6.21,
2.7,,6.50,
2.8,,6.79,
2.9,,6.95,
3.0,86.200000,6.91,
3.1,,6.59,
3.2,,6.06,
3.3,,5.61,
3.4,,5.36,
3.5,,5.17,
3.6,,4.98,
3.7,,4.78,
3.8,,4.57,
3.9,,4.38,
4.0,86.500000,4.22,
4.1,,4.13,
4.2,,4.10,
4.3,,4.11,
4.4,,4.13,
4.5,,4.20,
4.6,,4.27,
4.7,,4.46,
4.8,,4.80,
4.9,,5.16,
5.0,86.571429,5.49,
5.1,,5.81,
5.2,,6.12,
5.3,,6.37,
5.4,,6.59,
5.5,,6.83,
5.6,,6.89,
5.7,,6.64,
5.8,,6.21,
5.9,,5.80,
6.0,86.666667,5.44,
6.1,,5.17,
6.2,,5.02,
6.3,,4.90,
6.4,,4.78,
6.5,,4.71,
6.6,,4.65,
6.7,,4.55,
6.8,,4.44,
6.9,,4.41,
7.0,86.833333,4.41,
7.1,,4.38,
7.2,,4.35,
7.3,,4.42,
7.4,,4.66,
7.5,,4.94,
7.6,,5.25,
7.7,,5.63,
7.8,,6.00,
7.9,,6.32,
8.0,86.666667,6.61,
8.1,,6.87,
8.2,,6.96,
8.3,,6.77,
8.4,,6.41,
8.5,,6.07,
8.6,,5.75,
8.7,,5.44,
8.8,,5.19,
8.9,,5.02,
9.0,86.500000,4.84,
9.1,,4.68,
9.2,,4.58,
9.3,,4.47,
9.4,,4.39,
9.5,,4.32,
9.6,,4.26,
9.7,,4.18,
9.8,,4.11,
9.9,,4.14,
10.0,86.333333,4.24,18.3
10.1,,4.36,
10.2,,4.55,
10.3,,4.84,
10.4,,5.16,
10.5,,5.47,
10.6,,5.61,
10.7,,6.20,
10.8,,9.10,
10.9,,10.91,
11.0,85.833333,10.32,
11.1,,11.06,
11.2,,10.73,
11.3,,9.76,
11.4,,10.36,
11.5,,9.37,
11.6,,8.00,
11.7,,8.50,
11.8,,7.89,
11.9,,7.95,
12.0,85.166667,8.81,
12.1,,7.51,
12.2,,7.40,
12.3,,9.64,
12.4,,10.21,
12.5,,11.05,
12.6,,13.69,
12.7,,13.60,
12.8,,13.83,
12.9,,16.62,
13.0,84.833333,17.01,
13.1,,16.57,
13.2,,16.79,
13.3,,13.39,
13.4,,10.33,
13.5,,10.96,
13.6,,10.63,
13.7,,9.45,
13.8,,9.30,
13.9,,8.48,
14.0,84.166667,6.43,
14.1,,5.76,
14.2,,7.15,
14.3,,8.55,
14.4,,10.55,
14.5,,12.55,
14.6,,12.28,
14.7,,13.32,
14.8,,15.44,
14.9,,14.15,
15.0,84.000000,13.95,
15.1,,15.10,
15.2,,12.81,
15.3,,11.09,
15.4,,10.82,
15.5,,9.66,
15.6,,9.80,
