数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,64.000000,6.91,8.3
0.1,,7.44,
0.2,,7.92,
0.3,,8.62,
0.4,,9.48,
0.5,,10.29,
0.6,,10.77,
0.7,,11.26,
0.8,,11.77,
0.9,,12.39,
1.0,64.000000,13.03,
1.1,,13.82,
1.2,,14.71,
1.3,,15.55,
1.4,,16.22,
1.5,,16.46,
1.6,,16.28,
1.7,,15.95,
1.8,,16.03,
1.9,,16.63,
2.0,63.500000,16.84,
2.1,,16.21,
2.2,,15.30,
2.3,,14.51,
2.4,,14.10,
2.5,,14.25,
2.6,,14.56,
2.7,,14.72,
2.8,,14.96,
2.9,,15.12,
3.0,63.000000,15.03,
3.1,,14.85,
3.2,,14.47,
3.3,,13.76,
3.4,,12.77,
3.5,,11.72,
3.6,,11.05,
3.7,,10.63,
3.8,,9.98,
3.9,,9.21,
4.0,62.833333,8.56,
4.1,,8.02,
4.2,,7.44,
4.3,,6.87,
4.4,,6.51,
4.5,,6.30,
4.6,,6.00,
4.7,,5.62,
4.8,,5.27,
4.9,,5.00,
5.0,62.500000,4.77,
5.1,,4.61,
5.2,,4.47,
5.3,,4.26,
5.4,,4.04,
5.5,,3.97,
5.6,,4.00,
5.7,,4.03,
5.8,,4.07,
5.9,,4.46,
6.0,61.833333,5.30,
6.1,,5.88,
6.2,,5.93,
6.3,,5.77,
6.4,,5.55,
6.5,,5.32,
6.6,,5.15,
6.7,,5.04,
6.8,,4.96,
6.9,,4.83,
7.0,61.500000,4.69,
7.1,,4.58,
7.2,,4.48,
7.3,,4.34,
7.4,,4.13,
7.5,,3.99,
7.6,,3.95,
7.7,,3.92,
7.8,,3.91,
7.9,,3.94,
8.0,61.000000,4.03,
8.1,,4.18,
8.2,,4.34,
8.3,,4.52,
8.4,,4.74,
8.5,,5.15,
8.6,,5.66,
8.7,,6.20,
8.8,,6.84,
8.9,,7.59,
9.0,60.666667,8.42,
9.1,,9.19,
9.2,,9.79,
9.3,,10.37,
9.4,,11.08,
9.5,,11.86,
9.6,,12.65,
9.7,,13.36,
9.8,,13.91,
9.9,,14.35,
10.0,60.333333,14.84,6.8
10.1,,15.26,
10.2,,15.25,
10.3,,14.81,
10.4,,14.40,
10.5,,14.28,
10.6,,14.60,
10.7,,16.81,
10.8,,22.83,
10.9,,28.87,
11.0,60.166667,33.69,
11.1,,35.27,
11.2,,36.33,
11.3,,41.54,
11.4,,39.21,
11.5,,31.33,
11.6,,31.75,
11.7,,31.58,
11.8,,25.17,
11.9,,24.15,
12.0,60.000000,26.07,
12.1,,22.69,
12.2,,20.28,
12.3,,20.04,
12.4,,17.24,
12.5,,14.45,
12.6,,15.11,
12.7,,15.47,
