数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,97.000000,6.70,3.5
0.1,,6.31,
0.2,,5.93,
0.3,,5.55,
0.4,,5.16,
0.5,,4.78,
0.6,,4.52,
0.7,,4.32,
0.8,,4.09,
0.9,,3.92,
1.0,97.000000,3.77,
1.1,,3.63,
1.2,,3.61,
1.3,,3.68,
1.4,,3.67,
1.5,,3.62,
1.6,,3.58,
1.7,,3.49,
1.8,,3.45,
1.9,,3.54,
2.0,96.500000,3.58,
2.1,,3.54,
2.2,,3.49,
2.3,,3.42,
2.4,,3.41,
2.5,,3.62,
2.6,,3.93,
2.7,,4.20,
2.8,,4.43,
2.9,,4.47,
3.0,96.400000,4.27,
3.1,,4.11,
3.2,,4.04,
3.3,,3.86,
3.4,,3.67,
3.5,,3.50,
3.6,,3.28,
3.7,,3.10,
3.8,,3.03,
3.9,,2.99,
4.0,96.333333,2.93,
4.1,,2.90,
4.2,,2.85,
4.3,,2.82,
4.4,,2.86,
4.5,,2.85,
4.6,,2.81,
4.7,,2.77,
4.8,,2.70,
4.9,,2.86,
5.0,96.285714,3.38,
5.1,,3.89,
5.2,,4.32,
5.3,,4.79,
5.4,,5.24,
5.5,,5.73,
5.6,,6.26,
5.7,,6.60,
5.8,,6.54,
5.9,,6.16,
6.0,96.000000,5.64,
6.1,,5.17,
6.2,,4.83,
6.3,,4.49,
6.4,,4.21,
6.5,,4.01,
6.6,,3.82,
6.7,,3.75,
6.8,,3.77,
6.9,,3.74,
7.0,96.000000,3.71,
7.1,,3.64,
7.2,,3.56,
7.3,,3.62,
7.4,,3.69,
7.5,,3.66,
7.6,,3.60,
7.7,,3.48,
7.8,,3.38,
7.9,,3.40,
8.0,96.000000,3.54,
8.1,,3.82,
8.2,,4.22,
8.3,,4.68,
8.4,,5.30,
8.5,,6.04,
8.6,,6.63,
8.7,,7.03,
8.8,,7.15,
8.9,,6.80,
9.0,96.333333,6.29,
9.1,,5.89,
9.2,,5.49,
9.3,,5.09,
9.4,,4.71,
9.5,,4.38,
9.6,,4.20,
9.7,,4.11,
9.8,,3.95,
9.9,,3.78,
10.0,97.166667,3.64,0.0
10.1,,3.54,
10.2,,3.56,
10.3,,3.59,
10.4,,3.53,
10.5,,3.45,
10.6,,3.37,
10.7,,3.29,
10.8,,3.57,
10.9,,4.25,
11.0,98.800000,5.16,
11.1,,6.25,
11.2,,7.26,
11.3,,7.89,
11.4,,7.97,
11.5,,8.09,
11.6,,8.55,
11.7,,9.26,
11.8,,9.74,
11.9,,9.84,
12.0,99.166667,10.14,
12.1,,10.44,
12.2,,10.40,
12.3,,10.37,
12.4,,9.73,
12.5,,8.61,
12.6,,7.67,
12.7,,6.74,
12.8,,6.28,
12.9,,5.83,
13.0,99.714286,4.99,
13.1,,4.40,
13.2,,4.19,
13.3,,3.95,
13.4,,3.63,
13.5,,3.60,
