数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,85.000000,2.78,21.9
0.1,,2.81,
0.2,,2.98,
0.3,,3.23,
0.4,,3.66,
0.5,,4.23,
0.6,,4.85,
0.7,,5.58,
0.8,,6.38,
0.9,,7.18,
1.0,85.000000,7.89,
1.1,,8.53,
1.2,,9.16,
1.3,,9.67,
1.4,,9.72,
1.5,,9.25,
1.6,,8.60,
1.7,,8.07,
1.8,,7.62,
1.9,,7.15,
2.0,85.000000,6.65,
2.1,,6.11,
2.2,,5.59,
2.3,,5.10,
2.4,,4.57,
2.5,,4.10,
2.6,,3.80,
2.7,,3.60,
2.8,,3.44,
2.9,,3.26,
3.0,85.000000,3.07,
3.1,,2.93,
3.2,,2.87,
3.3,,2.89,
3.4,,2.87,
3.5,,2.90,
3.6,,2.95,
3.7,,3.01,
3.8,,3.07,
3.9,,3.12,
4.0,85.000000,3.26,
4.1,,3.52,
4.2,,3.86,
4.3,,4.30,
4.4,,4.78,
4.5,,5.33,
4.6,,6.03,
4.7,,6.79,
4.8,,7.44,
4.9,,7.99,
5.0,85.000000,8.43,
5.1,,8.64,
5.2,,8.43,
5.3,,7.80,
5.4,,7.07,
5.5,,6.47,
5.6,,5.89,
5.7,,5.26,
5.8,,4.69,
5.9,,4.20,
6.0,85.000000,3.79,
6.1,,3.49,
6.2,,3.31,
6.3,,3.25,
6.4,,3.15,
6.5,,2.99,
6.6,,2.82,
6.7,,2.74,
6.8,,2.80,
6.9,,2.96,
7.0,84.666667,3.22,
7.1,,3.56,
7.2,,3.94,
7.3,,4.33,
7.4,,4.73,
7.5,,5.13,
7.6,,5.60,
7.7,,6.11,
7.8,,6.61,
7.9,,7.10,
8.0,84.166667,7.52,
8.1,,7.62,
8.2,,7.34,
8.3,,6.89,
8.4,,6.49,
8.5,,6.18,
8.6,,5.79,
8.7,,5.25,
8.8,,4.70,
8.9,,4.23,
9.0,83.833333,3.87,
9.1,,3.60,
9.2,,3.42,
9.3,,3.36,
9.4,,3.43,
9.5,,3.68,
9.6,,3.97,
9.7,,4.24,
9.8,,4.55,
9.9,,4.91,
10.0,83.166667,5.26,7.3
10.1,,5.40,
10.2,,5.28,
10.3,,4.96,
10.4,,4.50,
10.5,,4.03,
10.6,,3.83,
10.7,,4.10,
10.8,,4.99,
10.9,,7.94,
11.0,82.666667,10.60,
11.1,,12.76,
11.2,,14.74,
11.3,,15.24,
11.4,,14.11,
11.5,,12.72,
11.6,,12.08,
11.7,,10.85,
11.8,,10.20,
11.9,,9.82,
12.0,82.333333,8.64,
12.1,,8.39,
12.2,,9.16,
12.3,,9.84,
12.4,,13.00,
12.5,,16.43,
12.6,,16.66,
12.7,,16.29,
12.8,,18.60,
12.9,,20.00,
13.0,82.166667,19.25,
13.1,,17.46,
13.2,,13.87,
13.3,,11.21,
13.4,,8.29,
13.5,,6.88,
13.6,,7.27,
13.7,,6.65,
13.8,,5.85,
13.9,,5.38,
14.0,83.000000,6.28,
14.1,,5.53,
14.2,,4.85,
14.3,,5.88,
14.4,,6.35,
14.5,,7.05,
14.6,,9.01,
14.7,,10.71,
14.8,,9.97,
14.9,,10.82,
15.0,83.833333,12.15,
15.1,,12.36,
15.2,,12.90,
15.3,,14.29,
15.4,,15.46,
15.5,,13.42,
15.6,,11.89,
15.7,,11.49,
15.8,,11.60,
15.9,,11.51,
16.0,85.500000,11.10,
16.1,,12.27,
16.2,,12.31,
16.3,,12.75,
16.4,,14.44,
16.5,,14.96,
16.6,,12.92,
16.7,,10.87,
16.8,,11.07,
16.9,,9.93,
17.0,86.666667,7.60,
17.1,,6.90,
17.2,,6.93,
17.3,,5.86,
17.4,,5.40,
17.5,,5.91,
17.6,,6.09,
17.7,,6.66,
17.8,,7.73,
17.9,,9.40,
18.0,87.833333,11.90,
18.1,,14.44,
18.2,,15.87,
18.3,,16.77,
18.4,,17.62,
