数据组 1:时间(s),数据组 1:心率(bpm),数据组 1:力(N),数据组 1:呼吸速度(bpm)
0.0,86.000000,4.35,19.3
0.1,,3.94,
0.2,,3.74,
0.3,,3.70,
0.4,,3.62,
0.5,,3.42,
0.6,,3.19,
0.7,,2.99,
0.8,,2.87,
0.9,,2.97,
1.0,86.666667,3.30,
1.1,,3.73,
1.2,,4.23,
1.3,,4.76,
1.4,,5.35,
1.5,,6.01,
1.6,,6.83,
1.7,,7.68,
1.8,,8.32,
1.9,,8.74,
2.0,87.750000,9.08,
2.1,,9.34,
2.2,,9.28,
2.3,,8.90,
2.4,,8.49,
2.5,,8.08,
2.6,,7.61,
2.7,,7.11,
2.8,,6.57,
2.9,,6.03,
3.0,88.800000,5.56,
3.1,,5.05,
3.2,,4.42,
3.3,,3.86,
3.4,,3.52,
3.5,,3.33,
3.6,,3.17,
3.7,,2.97,
3.8,,2.76,
3.9,,2.60,
4.0,89.833333,2.50,
4.1,,2.49,
4.2,,2.47,
4.3,,2.45,
4.4,,2.48,
4.5,,2.67,
4.6,,3.05,
4.7,,3.55,
4.8,,4.12,
4.9,,4.72,
5.0,91.333333,5.35,
5.1,,5.92,
5.2,,6.43,
5.3,,6.94,
5.4,,7.48,
5.5,,8.02,
5.6,,8.47,
5.7,,8.31,
5.8,,7.55,
5.9,,6.77,
6.0,92.500000,6.13,
6.1,,5.54,
6.2,,4.95,
6.3,,4.38,
6.4,,4.04,
6.5,,3.93,
6.6,,3.85,
6.7,,3.70,
6.8,,3.50,
6.9,,3.32,
7.0,93.000000,3.18,
7.1,,3.20,
7.2,,3.48,
7.3,,3.90,
7.4,,4.33,
7.5,,4.70,
7.6,,5.02,
7.7,,5.37,
7.8,,5.76,
7.9,,6.12,
8.0,93.333333,6.36,
8.1,,6.35,
8.2,,5.96,
8.3,,5.39,
8.4,,4.90,
8.5,,4.54,
8.6,,4.22,
8.7,,3.91,
8.8,,3.65,
8.9,,3.43,
9.0,93.333333,3.22,
9.1,,3.10,
9.2,,3.06,
9.3,,3.04,
9.4,,2.95,
9.5,,2.84,
9.6,,2.81,
9.7,,2.94,
9.8,,3.29,
9.9,,3.81,
10.0,93.166667,4.42,12.9
10.1,,5.13,
10.2,,5.84,
10.3,,6.47,
10.4,,7.21,
10.5,,7.94,
10.6,,8.35,
10.7,,8.80,
10.8,,10.42,
10.9,,14.28,
11.0,92.666667,17.84,
11.1,,19.61,
11.2,,20.13,
11.3,,19.62,
11.4,,20.85,
11.5,,20.81,
11.6,,19.30,
11.7,,19.56,
11.8,,17.12,
11.9,,12.80,
12.0,92.500000,11.39,
12.1,,10.81,
12.2,,10.09,
12.3,,9.34,
12.4,,8.61,
12.5,,8.51,
12.6,,8.24,
12.7,,9.57,
12.8,,11.04,
12.9,,12.94,
13.0,92.000000,16.64,
13.1,,18.57,
13.2,,19.24,
13.3,,19.35,
13.4,,20.17,
13.5,,18.71,
13.6,,14.32,
13.7,,13.64,
13.8,,12.43,
13.9,,9.16,
14.0,92.333333,10.43,
14.1,,11.76,
14.2,,10.06,
14.3,,8.45,
14.4,,8.85,
14.5,,10.63,
14.6,,10.36,
14.7,,12.12,
14.8,,14.08,
14.9,,13.74,
15.0,93.000000,16.05,
